Date,Time,Process,PowerShellCommand_Start,PowerShellCommand_Kill
2024-04-15,15:50:31.248024,WhatsApp.exe,Start-Process -FilePath 'WhatsApp.exe' -NoNewWindow -PassThru,Stop-Process -Id 12424 -Force
2024-04-15,15:49:30.203196,TbtP2pShortcutService.exe,Start-Process -FilePath 'TbtP2pShortcutService.exe' -NoNewWindow -PassThru,Stop-Process -Id 5296 -Force
2024-04-15,15:49:30.203196,WUDFHost.exe,Start-Process -FilePath 'WUDFHost.exe' -NoNewWindow -PassThru,Stop-Process -Id 3992 -Force
2024-04-15,15:50:31.248024,,Start-Process -FilePath '' -NoNewWindow -PassThru,Stop-Process -Id 108 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 12268 -Force
2024-04-15,15:50:31.248024,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 18056 -Force
2024-04-15,15:49:30.203196,chrome.exe,Start-Process -FilePath 'chrome.exe' -NoNewWindow -PassThru,Stop-Process -Id 5768 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 25316 -Force
2024-04-15,15:49:30.203196,GoogleCrashHandler64.exe,Start-Process -FilePath 'GoogleCrashHandler64.exe' -NoNewWindow -PassThru,Stop-Process -Id 11740 -Force
2024-04-15,15:50:31.248024,wslservice.exe,Start-Process -FilePath 'wslservice.exe' -NoNewWindow -PassThru,Stop-Process -Id 5192 -Force
2024-04-15,15:49:30.203196,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 11936 -Force
2024-04-15,15:50:31.248024,taskhostw.exe,Start-Process -FilePath 'taskhostw.exe' -NoNewWindow -PassThru,Stop-Process -Id 8396 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 25316 -Force
